zipcode,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income,Median Age,Male Median Age,Female Median Age,Male Population,Female Population,White Population,Black or African American Population,American Indian or Alaskan Native Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Other Race Population,Two or More Races Population,Husband and Wife Family Households,Single Guardian Households,Singles Households,Singles with Roommate Households,Households without Kids,Households with Kids,In Occupied Housing Units,Correctional Facilities,Juvenile Facilities,Nursing Facilities,Other Institutional,College Student Housing,Military Quarters,Other Noninstitutional,Owned House with Mortgage,Owned House Entirely,House Occupied by Renter,Households Vacant,Rented Studio Apartment,Rented 1 Bedroom,Rented 2 Bedroom,Rented 3+ Bedroom,Worked Full-time,Worked Part-time,No Earnings,"Commute in Car, Truck, or Van",Commute in Public Transportation,Commute in Taxicab,Commute in Motorcycle,"Commute in Bicycle, Walking, Other",Worked at Home,Less than High School Diploma,High School Graduate,Associate's degree,Master's degree,Professional school degree,Doctorate degree,Enrolled in Public School,Enrolled in Private School,Not Enrolled in School
98027,"26,141",469,"11,248","$478,800",55.79,1.13,"10,454","$100,644",41,40,42,"12,785","13,356","21,727",309,130,"2,537",39,503,896,"6,022","1,115","2,567",750,"7,151","3,303","25,735",0,0,131,0,0,0,275,"6,053","1,575","2,826",794,28,740,"1,305",832,"10,536","6,086","6,175","12,476",995,0,9,484,900,703,"6,547","1,545","3,365",684,314,"3,680",711,286
98117,"31,365","7,953","14,213","$463,500",3.94,0.61,"13,667","$86,986",40,39,40,"15,358","16,007","27,314",516,211,"1,566",32,436,"1,290","6,450","1,386","3,973","1,858","9,922","3,745","31,088",0,0,136,0,0,0,141,"7,628","2,260","3,779",546,235,"1,383","1,408","1,059","13,248","7,256","4,773","12,511","2,864",0,37,"1,488","1,363",646,"5,998","1,627","4,072","1,290",606,"2,831","1,458",292
98029,"24,348","2,719","10,222","$446,900",8.95,0.02,"9,656","$99,974",35,34,36,"11,691","12,657","16,643",329,60,"5,965",27,274,"1,050","5,632",994,"2,497",533,"5,677","3,979","24,234",0,0,114,0,0,0,0,"5,913","1,075","2,668",566,120,699,"1,242","1,233","9,610","4,743","5,468","10,351",887,0,74,514,841,400,"4,577","1,546","2,925",593,690,"4,359",965,556
98065,"12,699",171,"4,556","$418,900",74.09,0.87,"4,278","$121,415",34,34,34,"6,406","6,293","10,745",110,111,"1,014",10,162,547,"2,964",482,610,222,"2,087","2,191","12,573",0,126,0,0,0,0,0,"3,281",323,674,278,21,104,244,512,"5,061","2,005","1,605","5,502",153,0,14,101,451,234,"2,747",655,"1,063",313,90,"2,397",908,213
98006,"36,364","3,402","13,891","$574,000",10.69,0.75,"13,288","$110,290",42,41,44,"17,995","18,369","22,707",599,95,"10,959",77,397,"1,530","8,877","1,471","2,264",676,"8,101","5,187","36,160",0,0,25,0,0,0,179,"7,907","2,743","2,638",603,0,202,966,"1,430","12,365","6,920","9,250","13,656","1,413",25,56,328,"1,368",559,"6,238","1,955","4,184","1,361","1,137","6,315","1,363",422
98106,"22,873","4,161","9,990","$281,700",5.50,0.32,"9,018","$57,875",34,34,35,"11,288","11,585","11,715","2,658",377,"4,669",290,"1,599","1,565","3,352","1,985","2,456","1,225","6,178","2,840","22,842",0,0,7,7,0,0,17,"4,089",797,"4,132",972,153,"1,489","2,187","1,155","8,141","6,045","5,404","9,577","1,800",27,70,410,410,"2,528","7,394","1,564","1,045",141,45,"2,808",359,552
98011,"29,212","3,569","12,646","$351,000",8.19,0.00,"11,905","$71,720",38,36,39,"14,181","15,031","23,348",557,132,"2,766",57,"1,029","1,323","6,013","1,625","3,246","1,021","8,117","3,788","28,978",0,0,88,0,0,0,146,"6,430","1,468","4,007",741,211,"1,172","1,567","1,104","10,612","6,836","6,634","12,992","1,132",0,95,359,"1,021","1,206","8,483","1,985","2,206",403,359,"4,537",677,435
98052,"58,442","2,908","25,674","$465,200",20.10,0.83,"24,008","$99,192",34,33,36,"29,710","28,732","38,963",955,208,"14,141",91,"1,768","2,316","12,739","2,413","6,819","2,037","16,066","7,942","58,125",0,0,171,0,0,0,146,"10,907","2,666","10,435","1,666",388,"3,773","4,952","2,460","23,520","11,394","12,758","25,472","2,088",13,63,"1,813","1,900","2,061","11,252","3,104","9,007",805,"1,179","7,326","2,602",671
98133,"44,555","6,279","21,903","$326,400",7.10,0.07,"20,180","$51,499",39,37,41,"21,613","22,942","29,709","3,050",470,"7,083",198,"1,584","2,461","7,070","2,730","7,847","2,533","15,712","4,468","43,471",0,8,580,0,0,0,496,"7,568","2,401","10,211","1,723",660,"4,284","3,911","1,671","15,741","11,375","12,510","17,236","3,749",0,63,"1,257","1,374","2,972","14,444","3,225","3,239",461,654,"4,858",862,545
98102,"20,756","15,829","14,289","$406,000",1.31,0.25,"13,032","$65,054",33,34,32,"11,131","9,625","17,129",531,116,"1,689",48,334,909,"2,165",515,"7,300","3,052","12,305",727,"20,443",0,0,0,0,0,0,313,"2,931",908,"9,193","1,257","1,407","5,956","2,229",413,"11,449","7,179","2,836","7,356","4,490",38,61,"4,071",984,282,"3,887","1,220","3,388","1,223",600,389,309,22
98001,"31,911","1,717","11,249","$268,800",18.59,0.32,"10,717","$71,746",38,38,38,"16,047","15,864","22,385","1,453",300,"4,265",434,"1,413","1,661","6,468","1,772","1,801",676,"6,498","4,219","31,694",30,0,4,21,0,0,162,"6,975","1,369","2,373",532,62,307,"1,064","1,320","11,210","7,226","8,178","14,452","1,057",0,54,212,579,"1,957","12,586","3,015",942,152,72,"5,979",470,800
98092,"39,816",892,"14,935","$287,600",44.63,0.71,"14,129","$70,877",35,34,36,"19,756","20,060","28,858","1,568","1,637","4,074",305,"1,406","1,968","7,909","2,274","2,765","1,181","8,729","5,400","39,654",0,0,13,10,0,0,139,"8,352","1,894","3,883",806,20,975,"2,027","1,363","13,225","8,608","9,574","16,851",725,22,52,542,775,"2,183","12,835","2,930","1,830",353,261,"6,430","1,233",713
98125,"37,081","6,879","18,677","$372,000",5.39,1.54,"17,169","$53,044",38,36,39,"18,184","18,897","24,760","2,862",367,"5,616",191,"1,167","2,118","6,095","2,257","6,551","2,266","13,406","3,763","36,682",0,0,113,0,0,0,286,"6,108","2,099","8,962","1,508",971,"4,084","3,074","1,278","12,741","9,730","8,818","13,656","4,042",0,113,"1,047","1,051","2,229","9,581","2,057","3,739",859,950,"3,389",891,351
98059,"34,463","1,725","13,004","$363,500",19.98,0.06,"12,404","$91,465",38,37,38,"17,187","17,276","23,054","1,106",199,"6,906",152,"1,401","1,645","7,541","1,722","2,360",781,"7,510","4,894","34,332",0,5,0,0,0,0,126,"7,739","1,945","2,720",600,80,709,"1,120","1,016","13,876","6,796","7,572","16,355",929,0,0,387,986,"1,524","10,485","2,181","2,541",468,540,"5,514","1,426",920
98199,"19,686","4,714","9,810","$606,200",4.18,1.50,"9,098","$82,882",42,41,42,"9,607","10,079","16,911",320,85,"1,259",49,217,845,"4,182",817,"3,010","1,089","6,879","2,219","19,620",0,0,12,5,0,0,49,"4,381","1,557","3,160",712,36,"1,373","1,181",699,"8,422","4,458","3,964","8,276","1,622",0,52,749,680,353,"3,554","1,087","2,387","1,042",599,"2,112",999,216
98115,"46,206","7,018","21,623","$492,700",6.58,2.11,"20,456","$84,159",38,37,38,"22,428","23,778","37,773",938,213,"4,425",65,520,"2,272","9,043","1,802","6,699","2,912","15,219","5,237","45,776",12,63,19,0,0,0,336,"9,646","3,539","7,271","1,167",625,"2,307","2,956","1,693","18,588","12,272","8,477","16,963","5,228",0,163,"2,672","2,088",413,"7,818","1,944","6,980","2,453","2,581","4,310","2,366",377
